Bus_ID,BusinessName,AddressLine2,AddressLine3,PostCode,Longitude,Latitude,Cost,Quality,Food_Type_1,Food_Type_2,Food_Type_3
1,200 St Vincent Street,200 St Vincent Street,Glasgow,G2 5SG,-4.260957,55.86229,1,3,Scottish,,
2,279 Cafe Bistro,279 Dumbarton Road,Glasgow,G11 6AB,-4.303939,55.870516,3,4,Exotic,Italian ,
3,916 - Diner,916 Sauchiehall Street,Glasgow,G3 7TF,-4.284479,55.865774,3,4,Italian,,
4,Ad Lib,33 Ingram Street,Glasgow,G1 1HA,-4.242358,55.859008,3,4,American,,
5,Agra Restaurant,995 Crow Road,Glasgow,G13 1JP,-4.32204,55.893903,3,4,Indian,,
6,Akbars Balti Restaurant,573 Sauchiehall Street,Glasgow,G3 7PQ,-4.273083,55.866048,4,5,Indian,,
7,Alberto's,506 Alexandra Parade,Glasgow,G31 3BQ,-4.218008,55.863548,3,5,Italian,,
8,Alishan Tandoori,250 Battlefield Road,Glasgow,G42 9HU,-4.262139,55.824889,3,4,Indian,,
9,All In One,12 Marne Street,Glasgow,G31 2TD,-4.212686,55.8627,3,4,Exotic,Pub/Bar,
10,Alla Turca Restuarant,192 Pitt Street,Glasgow,G2 4DY,-4.26452,55.865289,5,5,Exotic,,
11,Al's Diner,70 Cathedral Street,Glasgow,G4 0RN,,,3,3,American,,
12,Amalfi Pizzeria,148 West Nile Street,Glasgow,G1 2RQ,-4.253893,55.863929,3,4,Pizza,Italian ,
13,Amarone,4 Nelson Mandela Place,Glasgow,,-4.2535556,55.86203936,2,4,Italian,,
14,Amber Regent,50 West Regent Street,Glasgow,G2 2RA,-4.256413,55.86329,2,3,Chinese ,,
15,Amber Restaurant,132 Byres Road,Glasgow,G12 8TD,-4.295156,55.873646,2,3,Chinese ,,
16,Amore Ristorante,30 Ingram Street,Glasgow,G1 1EZ,-4.242543,55.859445,3,4,Pizza,Italian ,
17,Anarkali Restaurant,531 Victoria Road,Glasgow,G42 8BH,-4.265291,55.83407,3,4,Indian,,
18,Anatolia,140 St Vincent Street,Glasgow,G2 5LA,-4.25852,55.861876,4,4,European,,
19,Anti Pasti,305 Sauchiehall Street,Glasgow,G2 3HQ,-4.263947,55.865326,2,4,Italian,,
20,Arisaig,71 Albion Street,Glasgow,G1 1NY,-4.243579,55.858573,3,4,Scottish,Pub/Bar,
21,Aroma,5 Cadogan Street,Glasgow,G2 6QE,-4.260169,55.859446,3,4,Indian,,
22,Arta,13 Walls Street,Glasgow,G1 1PA,-4.24317,55.857852,4,3,Exotic,,
23,Ashoka Ashton Lane,19 Ashton Lane,Glasgow,G12 8SJ,-4.292992,55.87463,3,4,Indian,,
24,Ashoka At The Quay,3 Springfield Quay,Glasgow,G5 8NP,-4.274804,55.855303,3,4,Indian,,
25,Ashoka South Side,268 Clarkston Road,Glasgow,G44 3EA,-4.269606,55.812187,3,4,Indian,,
26,Ashoka West End,1284 Argyle Street,Glasgow,G3 8AB,-4.290045,55.866929,3,4,Indian,,
27,Asia Style,185 St Georges Road,Glasgow,G3 6JD,-4.269402,55.869792,3,4,Indian,,
28,Asian Gourmet,17 West Princes Street,Glasgow,G4 9BS,-4.270026,55.870077,3,4,Indian,,
29,Ask Italian,3 Port Dundas Place,Glasgow,G2 3LD,-4.253253,55.865298,3,4,Italian,,
30,Assams,57 West Regent Street,Glasgow,G2 2AE,-4.256581,55.862882,2,3,Indian,,
31,Athena Greek Taverna,1116 Argyle Street,Glasgow,G3 8TD,-4.284857,55.865138,3,4,European,,
32,Athena Greek Taverna,99 Hope Street,Glasgow,G2 6LL,-4.259448,55.86079,3,4,European,,
33,Azzurro,91 Cambridge Street,Glasgow,G3 6RU,-4.259871,55.866965,3,4,Italian,,
34,Bar Soba,11 Mitchell Lane,Glasgow,G1 3LX,-4.255473,55.859487,2,3,Chinese ,,
35,Bar Soba Byres Road,122 Byres Road,Glasgow,G12 8TB,-4.295826,55.873085,2,3,Chinese ,,
36,Barbarossa Restaurant,3 Clarkston Road,Glasgow,G44 4EF,-4.261659,55.817726,3,4,Scottish,Italian ,Pizza
37,Barca Tapas And Cava Bar,48 Buchanan Street,Glasgow,G1 3JN,-4.253456,55.859156,3,4,Exotic,,
38,Barolo Grill,94 Mitchell Street,Glasgow,G1 3NQ,-4.255247,55.859995,3,4,Pizza,Fast Food,
39,Battlefield Rest,55 Battlefield Road,Glasgow,G42 9JL,-4.266264,55.827186,3,4,Scottish,Italian ,
40,Beechwood Tavern,164 Ardmay Crescent,Glasgow,G44 4PP,-4.247809,55.823354,3,4,Scottish,Pub/Bar,
41,Bella Fresca,2093 Paisley Road West,Glasgow,G52 3JH,-4.353494,55.845706,3,4,Italian,,
42,Bella Italia,96 Hope Street,Glasgow,G2 6PH,-4.258318,55.860873,3,4,Italian,,
43,Bella Napoli,85 Kilmarnock Road,Glasgow,G41 3YR,-4.282917,55.828531,3,4,Italian,Pizza,
44,Bella Vita,597 Mosspark Boulevard,Glasgow,G52 1SB,-4.333458,55.845127,3,4,Italian,Pizza,
45,Bombay Blues,41 Hope Street,Glasgow,G2 6AE,-4.259536,55.859557,3,4,Indian,,
